three_l;name;one_l;iupac;smiles
Ala;alanin;A;(2S)-2-aminopropanová kyselina;N[C@@H](C(=O)O)C
Arg;arginin;R;(2S)-2-amino-5-guanidinopentanová kyselina;N[C@@H](C(=O)O)CCCNC(=N)N
Asn;asparagin;N;(2S)-2,4-diamino-4-oxobutanová kyselina;N[C@@H](C(=O)O)CC(=O)N
Asp;kyselina asparagová;D;(2S)-2-aminobutandiová kyselina;N[C@@H](C(=O)O)CC(=O)O
Cit;citrulin;InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12);2-amino-5-(karbamoylamino)pentanová kyselina;N[C@@H](C(=O)O)CCCNC(=O)N
Cys;cystein;C;(2R)-2-amino-3-sulfanylpropanová kyselina;N[C@@H](C(=O)O)CS
Gln;glutamin;Q;(2S)-2,5-diamino-5-oxopentanová kyselina;N[C@@H](C(=O)O)CCC(=O)N
Glu;kyselina glutamová;E;(2S)-2-aminopentandiová kyselina;N[C@@H](C(=O)O)CCC(=O)O
Gly;glycin;G;aminoethanová kyselina;NCC(=O)O
His;histidin;H;2-amino-3-(1H-imidazol-4-yl)propanová kyselina;N[C@@H](C(=O)O)Cc1cnc[nH]1
Ile;isoleucin;I;(2S,3S)-2-amino-3-methylpentanová kyselina;N[C@@H](C(=O)O)[C@H](C)CC
Leu;leucin;L;(2S)-2-amino-4-methylpentanová kyselina;N[C@@H](C(=O)O)CC(C)C
Lys;lysin;K;(2S)-2,6-diaminohexanová kyselina;N[C@@H](C(=O)O)CCCCN
Met;methionin;M;(2S)-2-amino-4-(methylsulfanyl)butanová kyselina;N[C@@H](C(=O)O)CCSC
Orn;ornitin;O;(S)-2,5-diaminopentanová kyselina;N[C@@H](C(=O)O)CCCN
Phe;fenylalanin;F;(2S)-2-amino-3-fenylpropanová kyselina;N[C@@H](C(=O)O)Cc1ccccc1
Pro;prolin;P;(2S)-pyrrolidin-2-karboxylová kyselina;[C@@H]1(CCCN1)C(=O)O
Sec;selenocystein;U;(2R)-2-amino-3-selanylpropanová kyselina;N[C@@H](C(=O)O)C[SeH]
Ser;serin;S;(2S)-2-amino-3-hydroxypropanová kyselina;N[C@@H](C(=O)O)CO
T4;thyroxin;InChI=1S/C15H11I4NO4/c16-8-4-7(5-9(17)13(8)21)24-14-10(18)1-6(2-11(14)19)3-12(20)15(22)23/h1-2,4-5,12,21H,3,20H2,(H,22,23);(2S)-2-amino-3-[4-(4-hydroxy-3,5-diiodofenoxy)-3,5-diiodofenyl]propanová kyselina;N[C@@H](C(=O)O)Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1
Thr;threonin;T;(2S,3R)-2-amino-3-hydroxybutanová kyselina;N[C@@H](C(=O)O)[C@H](O)C
Trp;tryptofan;W;(2S)-2-amino-3-(1H-indol-3-yl)propanová kyselina;N[C@@H](C(=O)O)Cc1c[nH]c2ccccc12
Tyr;tyrosin;Y;(2S)-2-amino-3-(4-hydroxyfenyl)propanová kyselina;N[C@@H](C(=O)O)Cc1ccc(O)cc1
Val;valin;V;(2S)-2-amino-3-methylbutanová kyselina;N[C@@H](C(=O)O)C(C)C
